trip_id,vessel_name,mmsi,imo,vessel_owner,recruiting_agency,owner_flag,flag_vessel_flies,date_range_start,date_range_end,time_at_sea,fishing_ground_s,species_fished,gears_used,starting_port,government_body_involved,known_transshipment,entry_source,public_reference,general_comments,forced_l_indicator,known_non_offender,known_offender,possible_offender,source,notes,x27,x28,x29,x30
12,Wor Sapmongkon 2,NA,NA,Chon Sin,NA,NA,Thailand,NA,July 2015,NA,NA,NA,Carrier,NA,ejf,NA,SFG,Yes,Carrier present when murder in Thanomchon 15 happened.,NA,0,0,1,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,NA,NA,NA,NA,NA
13,Thanomchon 2,NA,NA,Chon Sin,NA,NA,Thailand,NA,July 2015,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,Fisher from Thanomchon 15 murdered for complaining about interest rate of his debt. Stabed by mechanic from Thanomchon 2,"Physical abuse, Debt bondage",0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,NA,NA,NA,NA,NA
14,Thanomchon 15,NA,NA,Chon Sin,NA,NA,Thailand,NA,July 2015,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,Fisher from Thanomchon 15 murdered for complaining about interest rate of his debt. Stabed by mechanic from Thanomchon 2,"Physical abuse, Debt bondage",0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,NA,NA,NA,NA,NA
15,Phokasathaporn 23,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,NA,July 2015,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,No mention on process. Testimony of IUU from scaped crew,"Physical abuse, Forced labor (no specific mention, but assumed from the testimony and the other vessels from the company in the same time period)",0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,NA,NA,NA,NA,NA
16,Phokasathaporn 35,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,NA,July 2015,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,No mention on process. Testimony of IUU from scaped crew,"Physical abuse, Forced labor (no specific mention, but assumed from the testimony and the other vessels from the company in the same time period)",0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,NA,NA,NA,NA,NA
17,Hung Yu 212,416167600,9178252,Hung Fei Fishery Co,Step Up,NA,Taiwan,NA,April 2011,NA,NA,Tuna,NA,NA,yes,NA,SFG,Yes,"Man dead, suspicion of abuse / violence. Other fishers working under the threat of death","Physical abuse, Intimidation and threats, Excesive overtime",0,1,0,https://www.nytimes.com/2015/11/09/world/asia/philippines-fishing-ships-illegal-manning-agencies.html,http://twc2.org.sg/2014/09/25/singaporean-ship-manning-agent-accused-in-filipino-court-of-trafficking-in-persons/,https://www.greenpeace.org/archive-international/Global/international/publications/oceans/2016/Taiwan-Tuna-Rpt-2016.pdf,NA,NA,NA
18,Silver Sea 2,567183000,7727097,Silver Sea Fishery Co,NA,NA,Thailand,NA,07-14-2015,NA,PNG,NA,NA,NA,yes,yes,SFG,Yes,"Forced laborers, shutting down locator. Reefer for slave related fish. Fleeing from Benjina to Papua New Guinea. Seized by PNG government",NA,0,0,1,https://www.ap.org/explore/seafood-from-slaves/gallery.html,Image 27/28/29 in the photo gallery,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,NA,NA,NA
19,Marine One,NA,NA,Silver Sea Fishery Co,NA,NA,Thailand,NA,Sept 2015,NA,Indonesia,Tuna,NA,NA,NA,NA,SFG,Yes,NA,NA,0,0,1,http://www.greenpeace.org/usa/wp-content/uploads/2015/11/Supply-chained.pdf?a1481f,NA,NA,NA,NA,NA
20,Mahatan Arujaya 12,NA,NA,NA,NA,NA,Thailand,Late 2013,May 2015,NA,Indonesia,NA,Trawler,NA,NA,NA,SFG,Yes,Not payed in 7 years,"Withholding of wages, Deception, Physical abuse",0,1,0,http://www.greenpeace.org/usa/wp-content/uploads/2015/11/Supply-chained.pdf?a1481f,NA,NA,NA,NA,NA
21,Arumina Pusaka 718,NA,NA,NA,NA,Thailand,Thailand,41609,March 2015,NA,Indonesia,"Tuna, sharks",Gillnet,Ambon,NA,NA,SFG,Yes,Gillneter.Fishing. Also transport to the reefer Marine One.,"Withholding of wages, Physical abuse, Excessive overtime,",0,1,0,http://www.greenpeace.org/usa/wp-content/uploads/2015/11/Supply-chained.pdf?a1481f,NA,NA,NA,NA,NA
22,Blissful reefer,334640000,5296795,Wanchai Saengsukiam,NA,Thailand,Honduras,NA,07-2015,NA,INDONESIA/PNG,NA,NA,NA,yes,yes,SFG,Yes,"Forced labor. Trafficking 8 slaves. Collected catch and delivered supplies to Thai fishing boats. providing support to the vessles that fled from Benjina. impounded by Indonesia, forbeing related to the Benjina case",NA,0,1,0,https://www.ap.org/explore/seafood-from-slaves/ap-investigation-prompts-new-round-of-slave-rescues.html,https://es.scribd.com/document/334344418/Turn-the-Tide,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
23,Silver Sea Line,NA,NA,Silver Sea Fishery Co,NA,NA,Thailand,NA,March 2015,NA,Indonesia,NA,Reefer,Samut Sakhon,NA,NA,SFG,Yes,Carrying fish sourced through human misery in Indonesia.,NA,0,0,1,http://www.greenpeace.org/usa/wp-content/uploads/2015/11/Supply-chained.pdf?a1481f,NA,NA,NA,NA,NA
24,Silver Sea Line 3 (Asian Marine Reefer),567231000,7637589,Silver Sea Fishery Co,NA,Thailand,Thailand,NA,NA,NA,Indonesia,NA,Reefer,NA,NA,NA,SFG,Yes,Transfering fish with vessels scaping from Benjina,NA,0,0,1,https://es.scribd.com/document/334344418/Turn-the-Tide,NA,NA,NA,NA,NA
25,"Silver Sea 3 (now ""Green Star"")",567006700,7006376,Silver Sea Fishery Co,NA,Thailand,Thailand,Before 4-2015 Benjina/PNG,2015,NA,Benjina/PNG,NA,Reefer,NA,NA,NA,SFG,Yes,Two high risk areas,NA,0,0,1,https://es.scribd.com/document/334344418/Turn-the-Tide,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
26,Chainavee Reefer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Chainavee 12,NA,NA,NA,NA,Thailand,NA,Nov 2014,03-2015,NA,Indonesia/PNG,NA,Trawler,NA,gp,NA,SFG,Yes,Victims of trafficking were being transported to this vessel by Blissful Reefer,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 33,NA,NA,NA,NA
28,Chainavee 24,377400151,8721959,NA,NA,Thailand,NA,Nov 2014,07-2015,NA,INDONESIA/PNG,NA,Trawler,NA,yes,NA,SFG,Yes,Victims of trafficking were being transported to this vessel by Blissful Reefer,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 33,NA,NA,NA,NA
29,Sor Somboon 19,460002888,8981450,Wichai PATTANAWITTAYANONT,NA,Thailand,Thailand,NA,January 2016,NA,Saya de Malha Bank,Tuna,Trawler,NA,gp,yes,SFG,Yes,"Transhipment, 9 months at sea, beriberi. 5 of the 30 cambodian migrants died at sea.",Abusive working and living conditions,0,1,0,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 11,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
30,Phokasathaporn 12,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,NA,August 2012,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,"4 fishers shot on plain daylight, Boonlarp pier",Physical abuse,0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,Page 18,NA,NA,NA,NA
31,Phokasathaporn 29,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,Thailand,NA,NA,NA,NA,NA,NA,NA,ejf,NA,SFG,Yes,captain kicked and the shot dead a fisher,Physical abuse,0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,Page 19,NA,NA,NA,NA
32,Phokasathaporn 19 (Poka Sathaporn 19),NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,NA,NA,08-2015,NA,NA,NA,Trawler,NA,yes,yes,SFG,Yes,Captain arrested nov 7 2015,"Debt bondage, Forced labor",0,1,0,NA,NA,NA,NA,NA,NA
33,Phokasathaporn 6,NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,NA,NA,10-2015,NA,NA,NA,Trawler,NA,yes,yes,SFG,Yes,Captain arrested nov 7 2015,Abusive working and living conditions. (lack of specific explicit indicator),0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,Page 33,NA,NA,NA,NA
34,Wannit Pramong (Wanich Pramong),NA,NA,Boonlarp Fishing Limited Partnership,NA,NA,NA,NA,10-2015,NA,NA,NA,Trawler,NA,yes,yes,SFG,Yes,Captain arrested nov 7 2015,Abusive working and living conditions. (lack of specific explicit indicator),0,1,0,https://ejfoundation.org/resources/downloads/EJF-Thailand-Seafood-Slaves-low-res.pdf,Page 33,NA,NA,NA,NA
35,Sor Sapsingtai 20 /sapsingthai (supsingthai?),550004041,NA,NA,NA,Thailand,NA,NA,January 2016,NA,Saya de Malha Bank,Tuna,Trawler,NA,yes,yes,SFG,Yes,"Transhipment, 9 months at sea, beriberi. Government investigation",Abusive working and living conditions,0,1,0,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 11,NA,NA,NA,NA
36,Kor Navamongkolchai 1,550000673,NA,Ms.Kamneungnuan Wongkachonkitt,NA,Thailand,Thailand,12-2014,01-2016,NA,Saya de Malha Bank,Tuna,Gillnetters using driftnets,NA,yes,NA,SFG,Yes,"Human trafficking/violence. Held cambodians captive for a year. Kicked, punched, beaten with sticks. thai authorities rescued 15 cambodian victims of trafficking","Physical Abuse, Restriction of movement",0,1,0,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 19,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
37,Kor Navamongkolchai 8,550000681,NA,Ms.Kamneungnuan Wongkachonkitt,NA,Thailand,NA,41974,January 2016,NA,Saya de Malha Bank,Tuna,Gillnetters using driftnets,NA,yes,NA,SFG,Yes,"Human trafficking/violence. Held cambodians captive for a year. Kicked, punched, beaten with sticks. thai authorities rescued 15 cambodian victims of trafficking","Physical Abuse, Restriction of movement",0,1,0,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 19,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
38,Kor Nava 19,560000772,NA,NA,NA,Thailand,NA,12-2014,01-2016,NA,Saya de Malha Bank,Tuna,Gillnetters using driftnets,NA,NA,NA,SFG,Yes,Suspiscious of Human trafficking,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 25,NA,NA,NA,NA
39,Antasena 331,NA,NA,Pusaka Benjina resources,NA,Thailand,NA,NA,NA,NA,INDONESIA/PNG,NA,NA,NA,NA,NA,SFG,Yes,"Fugitive from Benjina, April 2015",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 34,NA,NA,NA,NA
40,Mabiru 98 / Pornpohroensap 740,NA,NA,NA,NA,NA,NA,NA,NA,NA,INDONESIA/PNG,NA,NA,NA,yes,NA,SFG,Yes,"Fugitive from Benjina, April 2015. Indonesian government notes change of name of the vessel as it moved to the Dog Leg PNG",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,NA,NA,NA,NA,NA
41,Wisdom Sea Reefer,720955000,7637527,Wanchai Saengsukiam,NA,Thailand,Bolivia,04-2015 Benjina/PNG,01-2016,NA,Benjina/PNG/Saya de Malha Bank,NA,Reefer,NA,NA,yes,SFG,Yes,"Three high risk areas, Benjina April 2015",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
42,Precious 9 (reefer),334667000,7811513,NA,NA,Thailand,Honduras,NA,NA,NA,Benjina/PNG/Saya de Malha Bank,NA,Reefer,NA,NA,NA,SFG,Yes,"Three high risk areas, Benjina April 2015",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
43,Asian Marine Reefer (former Sea Line 3),567231000,7637589,NA,NA,Thailand,Thailand,Before 4-2015 Benjina/PNG,2015,NA,Benjina/PNG,NA,Reefer,NA,NA,NA,SFG,Yes,Two high risk areas,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
44,Celtic Ice,567175000,7727102,NA,NA,Thailand,Thailand,Before 4-2015 Benjina/PNG,2015,NA,Benjina/PNG,NA,NA,NA,NA,NA,SFG,Yes,Two high risk areas,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
45,Chainavee Reefer,334567000,7637591,Wichai Saengsukiam,NA,NA,Honduras,4-2015 PNG,2016 Saya de Malha,NA,PNG/Saya de Malha,NA,Reefer,NA,NA,NA,SFG,Yes,Two high risk areas,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
46,Patsorn (reefer),567391000,7713230,NA,NA,Thailand,Thailand,4-2015 PNG,2016 Saya de Malha,NA,PNG/Saya de Malha,NA,Reefer,NA,NA,yes,SFG,Yes,Two high risk areas /Transhipment. transhipment with survivors from human trafficking,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,"Table page 34, Page 54",https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
47,Sea Network (reefer),567487000,7637553,NA,NA,NA,Thailand,4-2015 PNG,2016 Saya de Malha,NA,PNG/Saya de Malha,NA,Reefer,NA,NA,NA,SFG,Yes,Two high risk areas /Transhipment,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
48,Asian Marine Reefer 2 (former Silver Sea Line),567046600,7804900,NA,NA,NA,Thailand,NA,05 2015 Benjina,NA,Benjina,NA,NA,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
49,K Goldensea (reefer),567486000,7811501,NA,NA,NA,Thailand,NA,05 2015 Benjina,NA,Benjina,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
50,Marine One,567492000,7721067,NA,NA,NA,Thailand,NA,05 2015 Benjina,NA,Benjina,NA,NA,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
51,Mega Reefer,NA,NA,NA,NA,NA,NA,Before 4-2015 Benjina/PNG,2015,NA,Benjina/PNG,NA,NA,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
52,Seavic Aremar (reefer),567451000,6908993,NA,NA,NA,Thailand,NA,05 2015 Benjina,NA,Benjina,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
53,Seavic Prinses (reefer),567004800,7819034,NA,NA,NA,Thailand,NA,05 2015 Benjina,NA,Benjina,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
54,Seavic Reefer,567476000,7724186,NA,NA,NA,Thailand (Panama before),NA,05 2015 Benjina,NA,Benjina,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
55,Serene Reefer,567188000,7508336,NA,NA,NA,Thailand,NA,05 2015 Benjina,NA,Benjina,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
56,Sumber Sukses Utama,525010170,7905027,NA,NA,NA,Indonesia (Thai before),NA,05 2015 Benjina,NA,Benjina,NA,NA,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
57,"Sutti Reefer (now ""S.Princesa"")",567536000,7713228,NA,NA,NA,Thailand (Panama before),NA,05 2015 Benjina,NA,Benjina,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
58,S. Leelawadee (reefer),567255000,7637539,NA,NA,NA,Thailand,05 2015,NA,NA,PNG,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
59,Sirichai Reefer,567196000,8211837,NA,NA,Thailand,Thailand,2015,2016,NA,Saya de Malha Bank,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
60,Missouri Reefer,567293000,7635878,Century Reefer Co. Ltd (Mr. Kitpohkha),NA,NA,Thailand,2015,2016,NA,Saya de Malha Bank,NA,Reefer,NA,NA,NA,SFG,Yes,One high risk area,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Table page 34,https://modernfarmer.com/2018/01/can-satellite-surveillance-help-end-slavery-seafood-industry/,NA,NA,NA
61,Prantalay 11,NA,NA,NA,NA,Thailand,NA,4 -2010,January 2011,NA,Indian Ocean,Tuna,NA,NA,yes,NA,SFG,Yes,No authorization from Indian Ocean Tuna Commission. Several Burmese crew. Hihgjacked by somali pirates. Captured by indian navy patrol,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 47,Hijacked by Somali Pirates,NA,NA,NA
62,Prantalay 12,NA,NA,NA,NA,Thailand,NA,4 -2010,NA,NA,Indian Ocean,Tuna,NA,NA,NA,NA,SFG,Yes,No authorization from Indian Ocean Tuna Commission. Several Burmese. highjacked by Somali pirates,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 47,Hijacked by Somali Pirates,NA,NA,NA
63,Prantalay 14,NA,NA,NA,NA,Thailand,NA,4 -2010,Jan 2011,NA,Indian Ocean,Tuna,NA,NA,NA,NA,SFG,Yes,No authorization from Indian Ocean Tuna Commission. Several Burmese. Highjacked by Somali pirates. vessel sunk by the india Navy,NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 47,Hijacked by Somali Pirates,NA,NA,NA
64,Ruang Larp 8,NA,NA,NA,NA,Thailand,NA,NA,2011,NA,Nazareth Bank,NA,Gillnetter,NA,yes,NA,SFG,Yes,"ilegal fishing, Mauritius notified the IOTC of activities from the Thai vessel. Thailand never did anything, which contributed to the EU yellow card",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 49,Mauritius notified IOTC was fishing illegally,NA,NA,NA
65,Ruang Larp 2,450900173,NA,Mr. Somchai Jettanapornsamran,NA,Thailand,NA,2015,2016,NA,Saya de Malha Bank,NA,Gillnetter,NA,NA,NA,SFG,Yes,"One high risk area. Sister vessel to Ruang Larp 8, doing IUU in Mauritius some years earlier",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 49,NA,NA,NA,NA
66,Ruang Larp 3,450900181,NA,Ms. Kamneungnuan Wongkachonkitt,NA,Thailand,NA,2015,2016,NA,Saya de Malha Bank,NA,Gillnetter,NA,NA,NA,SFG,Yes,"One high risk area. Sister vessel to Ruang Larp 8, doing IUU in Mauritius some years earlier",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 49,NA,NA,NA,NA
67,Ruang Larp 9,480003545,NA,Mr. Thongchai Wongkachonkitt,NA,Thailand,NA,2015,2016,NA,Saya de Malha Bank,NA,Gillnetter,NA,NA,NA,SFG,Yes,"One high risk area. Sister vessel to Ruang Larp 8, doing IUU in Mauritius some years earlier",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 49,NA,NA,NA,NA
